harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
29932,30252,471992,473216,31894,31926,37388,37860,135178,134994,68170,44914,253248,253312,28458,28714,123530,123674,27624,27784
40676,41420,463840,462688,34118,33942,34092,34212,119074,124394,110818,117554,322616,323976,44554,44498,102170,103122,24896,25072
18596,19740,445368,447912,47270,47462,37524,38564,101618,104386,79754,81658,290600,290936,36330,35978,101642,102386,29088,29432
30620,31020,431464,429800,33486,33646,33452,33556,78786,78858,67066,71162,338456,338840,33434,33626,102482,104058,56472,56408
25244,25500,212824,212560,32006,31878,38268,38284,129610,129906,75498,81962,234280,234184,29306,31626,103338,104930,31296,31472
28884,29140,340376,347408,35422,35390,37404,37548,100106,101514,86394,87066,386232,386536,23794,23922,90850,91242,30232,30472
62908,63164,345280,347904,33726,33358,27940,28484,116986,117242,39194,40714,225856,221192,38370,37586,102042,102922,41120,41360
23188,23524,514944,526192,43046,42790,35508,35396,137050,136394,80090,83498,252120,252832,33266,33314,112626,113498,37640,37832
30460,30716,567504,563448,26462,26526,51564,52028,117666,116474,101602,103106,334584,335232,28666,28794,102914,104650,41488,42048
28772,29028,375632,378712,32222,32462,32748,33572,80818,82522,50410,35298,247568,249008,35042,35298,90522,92146,42560,42864
29092,29348,463608,475600,29694,29950,58236,58700,81074,81802,64882,71378,233656,234664,32042,32106,103298,104906,26072,26432
28092,28348,456616,460560,26798,26990,36316,36124,81786,81698,71922,76490,309976,310920,38362,39130,96034,97570,25008,25072
35340,35532,490408,493400,31238,31206,48308,48244,76298,77098,87114,93082,299896,298888,39698,39642,107762,107922,55512,55512
42468,42708,451424,455048,27214,27438,36324,35924,107786,108874,50146,34562,341544,339024,33002,33450,106378,108074,54552,55032
44276,44340,461096,455952,36526,36910,41612,41700,79762,81554,62378,41618,342440,343456,29434,29930,100658,102242,30352,30672
21996,22316,218872,216928,32486,32470,40772,41692,91266,91306,77714,79226,254312,254680,38058,38058,104714,105626,33504,33800
53796,54116,363472,365128,28878,29422,37252,36788,80658,81946,83746,83442,250520,250424,35954,36130,125146,123026,24896,25072
25652,27132,362296,359952,26974,26486,35420,36060,103658,104306,67690,70410,292800,287912,29850,30106,99370,105434,30312,30712
18972,19228,415576,426432,31470,31502,37364,37204,139394,140986,80090,84146,320248,319864,32282,33882,109314,110690,29816,30088
19508,19892,512224,513000,32478,32286,43196,44204,121730,123018,56082,37770,263544,263400,33714,35066,98954,102522,33616,33984
20060,20380,199312,199968,31246,31214,33172,33796,80986,81426,35546,37066,372952,371752,35226,35354,101586,102482,43344,43576
29532,28764,439056,439016,33254,33062,36116,36148,91058,91090,65578,42786,250360,250264,28594,28658,101530,103002,46976,47472
30044,30364,205384,207080,31646,31454,45156,45396,114666,115258,103258,109402,364256,363304,36098,36162,97642,98554,43392,43712
29708,30124,469312,473584,28606,28974,62300,65028,88066,87922,70594,75242,234920,234280,32954,32826,98098,99050,43544,43800
48980,49300,453832,459448,42134,42390,36836,36692,82794,84258,74362,76314,339776,340160,45666,45922,98554,99962,37344,37776
50108,50364,386480,388496,27462,27286,37948,38908,124994,124666,54698,36482,358904,359192,32282,32602,107618,108282,51584,52768
