harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
1,1,46,75,7,9,7,13,52,59,3,26,52,76,0,0,6,24,2,3
2,2,67,96,3,7,7,12,37,54,9,33,53,98,0,0,9,12,1,1
2,3,48,105,0,0,0,0,39,42,3,30,16,57,0,0,7,7,2,3
5,11,58,140,5,7,11,13,54,50,0,4,22,87,0,0,9,35,1,1
4,4,14,23,7,9,7,14,30,38,2,19,39,101,0,0,5,25,2,2
4,4,31,68,6,7,10,17,39,57,3,10,18,68,0,0,9,9,2,2
3,3,11,21,7,9,10,18,25,35,2,7,30,77,0,0,5,24,3,4
7,21,30,69,4,8,11,17,51,61,3,18,31,80,0,0,13,15,3,4
2,2,53,99,4,10,27,50,79,85,8,36,33,103,0,0,5,25,0,0
4,4,43,72,5,6,13,15,28,33,3,14,37,73,0,0,5,25,0,0
4,4,41,70,5,6,12,24,44,42,2,11,24,74,0,0,16,35,1,1
3,3,46,75,5,6,3,3,33,36,2,11,49,77,0,0,9,11,1,1
2,2,48,77,6,8,13,24,26,26,2,11,45,84,0,0,7,33,1,1
4,11,46,75,6,9,2,5,21,18,2,15,36,68,0,0,5,25,1,1
2,9,43,72,6,7,9,12,19,21,3,22,25,90,0,0,8,28,3,4
3,3,14,23,12,19,11,21,15,22,3,10,25,70,0,0,9,29,2,2
1,4,51,56,4,5,9,16,47,43,3,10,26,55,0,0,8,32,1,1
5,19,45,84,4,12,6,6,55,55,6,20,29,70,0,0,11,11,2,2
5,5,46,104,5,6,11,21,23,27,2,19,26,116,0,0,4,24,2,3
6,14,46,77,3,5,10,20,67,75,0,8,25,63,0,0,6,8,3,4
3,3,50,67,5,6,5,8,38,38,4,12,22,82,0,0,7,27,0,0
4,18,48,76,7,9,5,5,53,51,2,15,11,51,0,0,5,7,1,1
1,1,21,31,7,9,7,13,36,36,2,12,31,81,0,0,5,13,0,0
3,7,46,75,8,10,8,5,56,49,0,4,27,56,0,0,5,23,0,0
5,5,46,75,0,0,8,15,74,67,3,14,20,70,0,0,16,35,2,2
4,4,41,70,11,18,0,0,22,22,3,18,33,113,0,0,7,27,1,1
2,8,52,81,5,11,0,0,51,47,3,18,18,58,0,0,7,33,1,1
4,4,56,113,6,8,5,5,27,55,3,10,42,90,0,0,5,25,2,3
2,2,44,73,4,5,12,18,28,26,6,20,23,93,0,0,5,25,3,4
4,4,41,72,6,6,3,3,13,20,2,7,34,69,0,0,6,24,1,1
3,3,34,65,7,13,6,12,60,70,2,11,36,61,0,0,7,27,0,0
6,6,46,75,4,5,9,15,27,23,2,11,32,102,0,0,7,33,2,2
3,3,43,72,5,6,32,56,83,85,2,11,19,23,0,0,18,19,2,2
4,4,46,83,7,9,7,7,10,18,4,14,18,60,0,0,12,26,1,1
3,3,58,87,4,5,1,1,33,30,0,8,23,83,0,0,6,24,1,1
3,3,43,72,7,9,9,16,9,41,2,9,37,92,0,0,8,28,1,1
1,1,56,85,0,0,10,9,39,58,2,7,27,31,0,0,21,29,3,4
2,8,36,73,5,7,13,13,28,26,2,16,27,59,0,0,6,6,1,1
3,3,51,80,1,6,20,20,30,30,3,10,44,73,0,0,6,26,2,2
2,9,25,38,7,9,12,23,43,50,2,11,28,32,0,0,6,26,1,1
3,3,28,34,6,7,6,6,54,53,3,18,33,97,0,0,6,8,2,3
3,3,46,75,4,8,8,11,68,70,2,15,23,68,0,0,5,5,0,0
4,8,41,70,5,6,8,9,26,53,2,11,26,76,0,0,7,32,1,1
4,5,68,100,5,6,7,13,25,25,3,34,23,83,0,0,10,11,0,0
2,8,58,87,3,4,12,12,29,29,0,10,26,101,0,0,7,27,1,1
6,23,27,43,0,0,25,37,11,14,0,4,33,78,0,0,3,13,3,4
4,15,54,85,3,4,9,17,7,7,0,8,41,79,0,0,9,21,0,0
4,4,42,71,12,19,8,15,47,43,3,18,34,66,0,0,4,30,2,2
2,2,46,75,7,9,15,21,30,39,8,33,31,71,0,0,11,28,2,2
4,10,46,75,6,17,10,20,49,45,0,8,20,75,0,0,10,27,1,1
2,8,41,72,4,5,8,15,29,25,2,11,34,104,0,0,6,27,0,0
3,3,10,20,7,9,6,13,49,47,3,24,21,86,0,0,5,5,2,2
5,12,58,119,7,13,3,6,20,17,3,18,29,84,0,0,5,25,1,1
4,11,34,65,6,7,10,17,27,35,3,20,44,109,0,0,5,25,2,2
10,27,43,86,8,18,18,18,2,4,0,0,42,56,0,0,10,19,2,2
2,6,50,84,6,8,13,19,41,61,3,10,4,17,0,0,14,20,1,1
1,8,44,73,7,9,8,8,25,29,4,20,24,48,0,0,6,26,2,3
5,5,93,120,8,14,9,17,33,31,3,10,28,76,0,0,10,28,1,1
4,4,75,107,4,8,16,24,52,63,3,22,23,99,0,0,7,23,2,3
4,16,46,75,7,13,18,18,71,77,0,8,67,112,0,0,10,28,2,2
1,8,50,79,5,6,13,24,22,34,2,15,24,89,0,0,12,28,3,4
5,5,47,78,7,9,9,16,22,22,2,19,19,75,0,0,12,29,0,0
