harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
0,0,49,63,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0
0,0,49,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,50,92,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
0,0,48,90,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
0,0,13,17,0,0,0,0,12,12,2,2,0,0,0,0,0,0,0,0
0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
0,0,6,10,0,0,0,0,12,12,0,0,1,1,0,0,0,0,0,0
0,0,16,8,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0
0,0,65,80,0,0,0,0,4,4,0,0,1,1,0,0,0,0,0,0
0,0,49,63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,49,63,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,49,63,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,0,51,65,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0
0,0,49,63,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,49,63,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
0,0,14,18,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,1,1,1,2,0,0,0,0,1,1,0,0
0,0,48,62,1,1,1,0,13,13,0,0,0,0,0,0,4,5,0,0
0,0,49,91,0,0,0,0,18,18,1,1,0,0,0,0,0,0,0,0
0,0,54,70,0,0,1,1,12,12,0,0,1,1,0,0,4,4,0,0
0,0,48,65,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,1,49,63,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,17,21,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0
0,0,49,63,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,49,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50,64,0,0,0,0,14,17,1,1,0,0,0,0,1,1,0,0
0,0,49,63,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
0,0,66,81,0,0,1,1,4,4,1,1,0,0,0,0,0,0,0,0
0,0,49,63,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,52,68,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,0,21,35,0,0,0,0,14,14,0,0,0,0,0,0,1,1,0,0
0,0,50,64,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,50,64,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0
0,0,15,15,0,0,0,0,12,12,1,1,0,0,0,0,1,1,0,0
0,0,63,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,50,64,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,48,62,0,0,0,0,0,0,1,1,0,0,0,0,2,3,0,0
0,0,3,3,1,0,0,0,21,21,1,1,0,0,0,0,0,0,0,0
0,0,49,63,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,24,28,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
1,1,29,29,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0
0,0,49,63,0,0,0,0,19,19,1,1,0,0,0,0,1,1,0,0
0,0,49,63,0,0,0,0,8,11,1,1,0,0,0,0,3,3,0,0
0,0,27,41,0,0,0,0,16,17,0,0,0,0,0,0,5,6,0,0
0,0,69,83,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
0,0,18,18,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,20,34,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
0,0,48,62,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0
0,0,48,62,0,0,1,1,1,1,0,0,0,0,0,0,3,4,0,0
0,0,49,63,0,0,0,0,1,1,0,0,0,0,0,0,3,4,0,0
0,0,54,70,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,6,10,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,0,59,74,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
0,0,21,35,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0
0,0,18,18,0,0,0,0,3,3,0,0,0,0,0,0,1,2,0,0
0,0,41,58,0,1,1,1,16,16,0,0,0,0,0,0,0,0,0,0
0,0,48,62,0,0,0,0,4,4,0,0,0,0,0,0,1,1,0,0
0,0,103,120,0,0,0,0,0,9,1,1,0,0,0,0,1,1,0,0
0,0,48,62,0,0,0,0,13,13,1,1,0,0,1,1,1,1,0,0
0,0,48,62,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0
0,0,49,63,0,0,0,0,8,8,0,0,0,0,0,0,2,2,0,0
0,0,54,70,1,1,0,0,12,12,0,0,0,0,0,0,3,4,0,0
0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,48,62,0,0,0,0,19,19,2,2,0,0,0,0,0,0,0,0
